Profile,Target distance [m],Target height [m],Optimal holdover,Optimal launch angle [°],best_x_hit [m],best_y_hit [m],Flight time [s],Final speed [m/s],Impact angle [°]
default,100.00,-9.00,10.143,0.655,100.00,-9.00,1.44,69.78,-10.91
default,100.00,-8.00,10.156,1.235,100.06,-8.00,1.44,69.64,-10.36
default,100.00,-7.00,10.156,1.808,100.03,-7.00,1.44,69.50,-9.81
default,100.00,-6.00,10.169,2.387,100.06,-6.00,1.44,69.37,-9.26
default,100.00,-5.00,10.171,2.960,100.02,-5.00,1.44,69.23,-8.70
default,100.00,-4.00,10.184,3.539,100.03,-4.00,1.45,69.09,-8.15
default,100.00,-3.00,10.198,4.117,100.03,-3.00,1.45,68.95,-7.60
default,100.00,-2.00,10.212,4.695,100.02,-2.00,1.45,68.81,-7.04
default,100.00,-1.00,10.228,5.272,100.00,-1.00,1.45,68.68,-6.49
default,100.00,0.00,10.252,5.853,100.04,0.00,1.45,68.54,-5.93
default,100.00,1.00,10.270,6.430,100.00,1.00,1.45,68.40,-5.38
default,100.00,2.00,10.296,7.010,100.02,2.00,1.45,68.25,-4.82
default,100.00,3.00,10.323,7.589,100.03,3.00,1.46,68.11,-4.27
default,100.00,4.00,10.352,8.167,100.02,4.00,1.46,67.97,-3.72
default,100.00,5.00,10.382,8.745,100.01,5.00,1.46,67.83,-3.16
default,100.00,6.00,10.418,9.323,100.05,6.00,1.46,67.69,-2.62
default,100.00,7.00,10.451,9.899,100.02,7.00,1.46,67.55,-2.06
default,100.00,8.00,10.490,10.476,100.04,8.00,1.47,67.40,-1.51
default,100.00,9.00,10.530,11.051,100.05,9.00,1.47,67.26,-0.97
default,100.00,10.00,10.572,11.625,100.05,10.00,1.47,67.11,-0.42
